measurement_time,gadget_id,vibration_x,vibration_y,pressure,temperature,Unnamed: 10,Unnamed: 11,failure_time,time_to_fail,fail_in_1h,temperature_6h_std,pressure_6h_mean
2020-07-15 00:00:00.000000000,1,3,7,16.0,44.114437457562886,,,2020-07-15 09:56:03.974006640,0 days 09:56:03.974006640,0,,
2020-07-15 01:00:00.000000000,1,8,3,12.0,34.39517696325616,,,2020-07-15 09:56:03.974006640,0 days 08:56:03.974006640,0,3.453741995365596,15.5
2020-07-15 01:59:59.990000000,1,10,8,20.0,38.28070467723367,,,2020-07-15 09:56:03.974006640,0 days 07:56:03.984006640,0,3.803751837817284,16.833333333333332
2020-07-15 02:59:59.985000000,1,6,5,20.0,41.878214808705465,,,2020-07-15 09:56:03.974006640,0 days 06:56:03.989006640,0,3.6791216389032235,15.166666666666666
2020-07-15 03:59:59.980000000,1,6,9,16.0,39.25726754585524,,,2020-07-15 09:56:03.974006640,0 days 05:56:03.994006640,0,9.337837549741097,13.0
2020-07-15 04:59:59.975000000,1,2,6,10.0,38.92734324397397,,,2020-07-15 09:56:03.974006640,0 days 04:56:03.999006640,0,3.2536254072438076,15.666666666666666
2020-07-15 05:59:59.970000000,1,8,10,10.0,36.82630957111057,,,2020-07-15 09:56:03.974006640,0 days 03:56:04.004006640,0,3.5297941931829824,16.5
2020-07-15 06:59:59.965000000,1,9,5,17.0,30.692898266995968,,,2020-07-15 09:56:03.974006640,0 days 02:56:04.009006640,0,3.473572227078719,14.833333333333334
2020-07-15 07:59:59.960000000,1,5,1,15.0,31.925228571191482,,,2020-07-15 09:56:03.974006640,0 days 01:56:04.014006640,0,11.76438222230171,15.166666666666666
2020-07-15 08:59:59.955000000,1,5,7,19.0,25.32640216190759,,,2020-07-15 09:56:03.974006640,0 days 00:56:04.019006640,1,2.5777229816396297,13.833333333333334
2020-07-15 09:59:59.950000000,1,7,5,17.0,31.091842173117538,,,2020-07-15 21:49:25.197701400,0 days 11:49:25.247701400,0,2.7544638017484866,14.666666666666666
